Genes	H3K4me2_S52267	H3K4me2_S52221
Rxylt1	508	181
Snhg11	51	15
Zfp970	267	135
S100a9	19	15
Edn1	249	120
Tubb1	34	8
5730455P16Rik	363	157
Mroh9	20	4
Clec2e	13	10
Mob4	453	187
Gm16316	47	16
Fam205a1	26	6
Gm527	288	140
Gm38397	27	13
Fbxw24	29	7
1700100I10Rik	57	35
4930407G08Rik	38	6
Cd300lb	33	11
Camsap3	361	179
Mrpl13	458	218
Gm5168	18	5
Trpc5os	19	8
Col8a2	176	90
Kcnip2	268	156
G630064G18Rik	11	6
Platr30	47	18
Ttc33	431	239
Clec4b1	18	5
Prcd	83	36
5930403L14Rik	205	140
Krt42	36	18
100039484	77	27
Gm1527	12	6
4930503O07Rik	25	11
Fbxw2	506	201
Fbxo43	311	138
Acot9	188	68
Riiad1	44	8
Tmem196	13	3
Gm5169	20	9
Pcdhga5	127	67
Gng4	440	216
Rbm20	365	196
Mecom	300	138
Polr2k	334	142
Nhsl1	388	182
Il23r	21	4
Tbx22	14	1
Defb37	29	4
Ccl11	30	4
Tal2	33	18
Zic4	31	17
Hoga1	97	37
Gm29804	13	11
Jade3	313	133
Armc2	464	196
Wfdc3	71	39
Gm12371	13	3
Gm6902	30	13
Celf3	39	15
4930515L19Rik	20	13
Ces2h	33	15
Tekt1	71	20
Kcnip1	48	17
Zfp931	452	174
Hc	19	10
B4galt6	21	6
Adam12	107	58
Dpy30	36	13
Wdr70	277	123
Ccdc162	27	7
Robo3	43	16
Gm14250	29	13
Nrxn3	21	6
Gpr61	56	15
Pdzrn3	228	138
1700121N20Rik	40	12
Cib4	49	10
Rsph14	43	25
Fam71e2	54	27
Clstn2	29	10
Ccdc34	413	245
Fntb	510	195
Apol9a	63	34
Zfp648	38	9
Haus6	457	227
Gm16497	9	3
Robo4	54	19
Ccdc181	253	99
Tomm7	269	125
Dpp6	25	7
6330525I24Rik	289	173
AW209491	392	213
Cyp11b1	48	17
Snord3b4	453	171
Zscan30	223	127
4930595D18Rik	93	58
Frrs1	420	182
Gm8978	18	7
Fbxo25	425	214
Ajap1	28	14
Tmem59l	411	200
Slc25a26	465	184
Lyz1	35	12
Rin1	90	28
Gjd4	26	3
Osbpl10	369	198
Adcy6	471	213
Igf2os	322	135
Prr27	10	5
Adora3	38	9
Khdrbs2	12	4
Itga10	41	15
Lca5	470	179
Gm38416	25	11
1700109G14Rik	27	8
Slc25a24	430	171
Slc10a6	17	12
Psmd11	433	212
Artn	81	35
Ezh1	426	179
Naaladl2	7	9
Mef2b	168	53
Slc24a2	37	9
Gm20819	0	0
Kantr	210	94
Cyp2j12	11	4
Tgfbi	42	16
Slc2a5	46	28
Odf3l2	50	26
Anxa1	29	12
Ergic3	346	162
Kdm1a	406	159
Cops4	420	219
Fam189a2	42	8
Cavin2	13	9
Gemin6	444	188
Nhlh2	25	8
Kif4	371	162
Enam	17	1
Fbxo4	332	142
Kcnk12	121	68
Hoxb3	71	20
Smarcad1	399	182
4930513L16Rik	35	19
Mir1a-1hg	37	19
Klrb1b	31	5
D130040H23Rik	355	151
Tex24	19	4
Klf15	78	38
Gm3716	86	43
Klhl30	28	22
Glra4	39	9
Hoxd10	44	19
Treml1	36	20
1700123O12Rik	22	12
1700108J01Rik	28	7
Gpr173	51	7
Slc35d1	385	208
Cd93	61	42
Mcoln3	269	132
Enpp5	368	175
Sult3a1	7	5
St6galnac5	303	169
Iqub	31	17
Olfr1157	2	7
4933407K13Rik	210	101
Skint6	19	3
Sertad4	161	67
Araf	376	144
Sf1	443	220
Tmem230	455	140
4921513I03Rik	40	8
Pakap	63	34
Gm51695	22	13
Matk	286	130
Lefty2	88	35
Tll2	140	83
4930572O13Rik	43	14
Pex11g	357	210
Dnmt1	60	25
Oacyl	91	67
Nell1os	18	7
Dppa2	18	4
Krt74	40	20
Eml5	423	196
Fgf12	16	3
Agr3	19	4
Mir124-2hg	21	5
Clrn3	35	6
Ephb4	59	12
4921531P14Rik	22	5
LOC100043315	13	9
Nup210l	42	15
Ripply2	49	8
Cyp2d34	43	14
4922502B01Rik	24	5
Samd3	31	20
1700057H15Rik	44	11
Clvs2	9	6
Zfp14	427	198
Hvcn1	365	185
Ifitm7	43	14
Smad2	431	191
Gzmn	42	9
Dydc2	29	12
Ccl19-ps1	19	6
Mrpl38	438	222
Rtraf	348	167
Kif12	45	13
Insyn2a	31	8
Sostdc1	55	21
Wdr11	351	184
4930545E07Rik	9	7
Loxl1	32	23
Sec23b	508	188
Rab32	391	252
Fktn	516	200
Gm15501	16	8
4933416E03Rik	26	11
Mup12	30	6
Snx4	486	215
Prrxl1	16	12
4930564D02Rik	31	11
Gm4251	41	11
Art2a	153	82
1700091H14Rik	45	7
Slc26a5	18	10
Edil3	34	13
1700031M16Rik	26	8
Ehhadh	401	223
Tex36	32	10
Saa4	45	14
Gm20611	33	14
Xpot	444	231
Rpap1	367	193
Elac1	325	174
Cdhr5	96	60
She	429	187
Themis3	32	7
Cyp2e1	30	13
Gm53063	13	9
Tekt5	104	40
Vmn2r89	11	2
Gm21454	0	0
Exd2	366	172
Gm14317	70	41
Gm29685	14	2
Gm12320	54	18
Hectd2os	28	14
Nxnl1	142	70
Spata22	19	6
Cracr2b	284	141
Gpr12	19	22
Mmgt1	313	131
Hhipl1	64	38
Marf1	381	141
Prl3d3	9	2
D14Ertd670e	77	25
Mettl7a2	48	22
Gosr1	313	159
Obox3	27	6
Tep1	465	152
Pmpcb	427	185
Mnx1	27	21
4930556M19Rik	258	192
C330026H20Rik	52	20
3830432H09Rik	49	17
Spc25	410	213
Oaz3	35	15
9130221F21Rik	29	10
Ccm2l	25	8
Zcwpw2	450	198
Glrp1	93	33
Ugt2a2	4	2
4930423M02Rik	43	7
Pdzk1	30	12
Ripk4	264	136
Speer4cos	94	19
Pcdha11	26	7
Tnip3	30	13
Ccdc85a	31	4
Gm4736	14	7
A330033J07Rik	65	45
Bicral	41	31
Gpr88	35	12
Kbtbd8	302	150
A530072M11Rik	448	216
Rnf212	33	7
Nfasc	41	15
Naa11	19	10
Gm31057	69	50
Pramel30	19	8
6430710C18Rik	39	21
Antxrl	22	13
F13b	7	3
Krt86	54	14
Gm1113	40	8
Vmn2r81	10	6
Hsd3b5	20	4
C87198	18	8
Kirrel	57	27
Gm11487	22	8
H2-M10.4	19	10
Cxcl14	23	12
1700028P14Rik	26	13
Mroh2b	30	3
9430015G10Rik	422	172
Serpine3	20	8
Cdh2	42	18
Ccdc122	235	135
Zfhx4	52	22
Dkc1	391	170
Nme9	36	10
Galr1	22	18
Kcne4	22	7
Fbxl5	425	195
Dcun1d5	201	104
Gpm6a	21	6
Gm10466	12	9
Fam193a	470	199
F5	28	5
Pcdhb3	18	4
4933402N22Rik	31	12
Fat1	23	7
Myo3a	16	2
Lrit2	24	8
Kif19a	161	89
Klre1	17	7
Onecut2	33	18
Pkhd1l1	80	54
Scimp	48	24
Rap1gapos	107	53
Slc35a2	364	141
Mfsd4b2	77	45
Ppfia2	15	5
Gm4610	42	11
Marchf1	11	11
Cnrip1	213	89
Wfikkn2	430	226
Vmn2r20	9	6
Bhlha15	201	86
Csn2	9	2
Htr2c	32	11
Gm19589	245	104
Bcl2l10	30	7
Olfm3	17	3
Ces1b	26	12
Lyrm9	389	198
Timp3	74	30
Hymai	181	108
Gm16701	351	192
Gm38423	23	11
Tmem130	54	25
Lilrb4b	21	14
Gm10857	33	12
Lcn12	46	43
Srxn1	152	65
Gm12415	18	9
Wap	41	19
Gm20878	158	85
Slc6a20b	52	19
Mir683-2	14	6
Ret	270	162
Sirt5	69	25
Ccdc62	451	201
Dpp8	402	172
Csf2rb	48	15
5730552O08Rik	157	73
Gm8817	31	10
Glipr1l2	11	5
Gm20556	49	12
Rasl12	213	116
Tmem170	393	184
Rpp30	401	226
Ms4a6c	171	84
Tbc1d30	457	205
Slc19a3	24	10
Zbbx	18	7
Csnka2ip	23	2
Snrnp27	498	210
Gm20931	3	0
Thbs2	13	8
Atp1a2	40	10
Mrgprd	45	14
Pcdhb5	12	13
Gm10494	32	13
Zfp936	49	14
Gm11482	40	12
Nkx2-3	290	162
Bpnt1	421	183
Sall2	58	20
Cep72	234	129
5031434C07Rik	16	3
Vmn2r22	20	4
Ckap5	339	111
Hhatl	65	16
Synm	236	110
Nsun6	483	193
Vmn2r13	19	5
Onecut1	84	64
Srprb	298	145
Klk1b1	32	15
Figla	35	12
Zmym1	293	109
Ppil2	377	155
Prss29	29	22
9530034E10Rik	43	17
Otop1	51	16
Ccdc113	115	59
Lrtm2	139	52
Gm14496	28	4
Exosc10	401	204
Cxcl17	42	30
Utp23	404	158
Zfp160	355	151
Cnga4	45	16
Prl7a1	9	4
Dusp19	477	194
Nfe2	423	200
Mospd1	360	154
Rb1	415	211
Kifc3	21	13
1700049E22Rik	21	12
Tex45	48	27
Gm5767	35	16
Apobec2	57	25
Grin1	132	42
Eif2c5	21	14
Septin12	45	21
Tent5b	311	168
Tmem238l	27	9
Fcna	45	21
Cntn5	23	8
Tada2a	368	194
Tmed8	457	222
Gm7444	34	15
Scara5	28	14
Gm17767	217	108
Gm7073	13	13
Crygs	43	16
Tead4	95	44
Gm36037	27	19
Esx1	160	100
Gm29461	21	5
Afap1l1	154	68
Mir466b-4	26	15
Cphx1	29	12
Trim52	9	8
Prodh	415	207
Xiap	225	92
Rtn1	42	18
Il21	23	11
Pldi	40	20
Fundc2	174	76
Gm12111	33	14
Stox1	369	171
Ppargc1a	9	5
Cyp20a1	510	193
Mill2	218	113
1700003E16Rik	399	204
Gata1	45	13
Accsl	21	19
Syn2	210	114
Gpr87	13	11
Rtca	428	226
Cbfa2t3	116	58
Eml6	92	57
Foxr2	21	5
Rims4	69	27
Cdh23	109	30
Vmn2r122	8	3
Spata31d1a	299	150
Krt13	32	7
Gm31641	59	27
Zfp712	441	223
Gm45623	44	13
Inpp5b	379	246
Lyz2	30	16
Pigk	363	232
Impa1	389	156
Defb45	30	12
Copz2	209	129
Khdrbs3	128	53
Mtarc1	50	14
4930526I15Rik	492	193
Eef1akmt2	297	134
Styx	307	136
Ccdc30	406	193
Gkn2	25	18
Gal3st2c	32	13
1700125H20Rik	97	37
Sacs	26	17
Gsta4	267	131
Irs4	18	9
Ace3	54	22
Gm7931	33	7
Gm5524	24	7
Saxo1	58	9
Wwc1	28	15
AI661453	196	106
H2al1i	22	6
Ttc39aos1	90	35
Utrn	33	16
Otx2	27	8
Hmgcs1	615	256
Cdc6	628	258
4933408J17Rik	461	239
Rab11fip5	818	425
Lrpap1	491	233
Hspa12a	636	316
Sowahc	933	483
BC025920	749	284
Arl6ip1	573	223
AB010352	594	267
Msl3	800	355
Aarsd1	510	240
Ppp2r5c	686	303
C1galt1	663	273
Disc1	699	389
Gm27217	844	482
Aamp	992	433
Anks3	799	355
Dnajb4	564	240
Sestd1	514	237
Ankrd42	550	266
Ppfia3	789	346
Pmf1	639	298
Ptbp3	860	327
Pitpnb	600	299
Jpt2	706	266
Bora	595	288
Klhl26	687	333
Iqcb1	484	234
Ehbp1	665	349
Abca1	751	338
Peg13	955	514
Abl1	732	314
Ttc7b	612	315
Socs7	911	510
Mtdh	777	366
Ndufb8	656	322
Stat6	1601	640
Get3	1049	369
Mrpl21	670	337
Zxdc	830	467
Bmpr2	829	399
Dglucy	633	285
Zfp703	1562	838
Mettl27	738	328
Dut	600	340
Ccnd3	2721	1245
Ccdc103	623	229
Nf1	616	291
Knop1	658	330
Otud4	678	293
Cnot6	625	288
Bckdha	723	335
Cfap52	455	250
Pank4	954	413
Inpp5e	519	291
Arsg	930	458
Pdlim7	778	452
H13	1354	647
Hdlbp	971	401
Ppp4c	685	333
Itih5	754	397
Lpar2	842	440
Txnrd3	587	249
Clip2	854	420
Alg1	463	252
Nup54	620	244
Rbm33	685	291
Paf1	930	338
Ubap2l	650	290
A230028O05Rik	607	305
Mrps23	466	272
Mib2	677	272
4931440J10Rik	804	333
Tnfrsf1a	1660	803
Etfb	1070	440
Wdfy1	804	360
Septin1	1891	881
Tmem8b	620	270
Acer2	564	287
Dbnl	1168	510
Crebl2	517	231
Srek1ip1	651	346
Ulk4	609	287
Lrp10	522	224
Tbx1	737	414
Mrpl2	993	430
Paxbp1	605	323
Pcnx	516	247
Fhip2b	532	210
Arhgap18	495	231
Tmem164	751	291
Tra2a	517	231
Prelid3b	769	342
Casp9	512	252
Aldh18a1	948	375
Zmynd19	736	387
Dmwd	439	256
Ccnjl	759	386
Tnip2	887	362
Dpp7	495	240
Cbr3	744	445
Ggn	635	352
Ranbp1	1078	520
Psmd2	609	289
Pou6f1	1172	587
Ifi208	797	301
Slc1a5	1504	764
Zfp444	971	449
Dlx1	824	457
Snrnp40	736	282
Smchd1	970	441
Spata32	644	263
Prr14l	622	230
Pan2	710	328
Bbs9	518	219
Coq8a	710	344
Itga3	805	395
Ntrk3	777	410
Gm38250	1170	496
BC005624	749	298
AI854703	785	438
Foxn2	698	281
Zfp28	515	272
Smim12	582	329
Pik3r2	1163	523
Vcan	555	315
Acot7	1243	651
Rsrp1	1119	495
Traf2	535	223
Zfp689	692	294
Zfp128	505	235
Gm15663	1310	547
Ipmk	957	424
4930417O13Rik	1029	373
Cdca7l	509	232
Tspan14	1285	623
Casp8	873	304
Depdc1b	860	398
Tedc1	1168	490
Tsc22d1	905	507
Minpp1	558	250
Zfp36l1	1560	709
Ftx	654	280
Asb1	999	559
Ap2a2	1132	487
Cenpc1	729	307
Eno1	1477	702
Gm37065	1159	553
Stambp	668	313
Usp20	762	315
Pofut1	736	332
Pabpn1	636	252
Arl15	780	331
Pmaip1	612	294
6430571L13Rik	691	305
Sin3b	649	302
Uhrf1bp1l	563	240
Mydgf	720	324
Mex3b	1463	724
Ccng2	730	278
Irak3	534	241
Usp22	863	352
Ippk	814	377
Flicr	1086	480
Thumpd3	876	339
Ankfy1	581	225
Ppp2r5d	1038	489
Oxct1	633	360
Ndufb9	763	367
Pars2	490	230
Tnfrsf14	1975	927
Det1	549	223
Ppp2r5e	565	246
Ms4a6b	1449	601
Swi5	918	370
Gtf2h3	627	344
Foxj2	991	499
Gga3	1006	533
Opn3	687	283
Stk17b	662	283
Hk1os	1227	563
1700037H04Rik	1309	600
Inip	508	213
Slc38a9	539	210
Mphosph8	728	290
Mtmr14	662	334
Slc4a2	1305	543
Atp13a3	1232	578
Rpl21	695	308
Mbd6	1241	498
Leng8	803	363
Rps6ka1	1084	515
Dlg4	934	384
Rest	541	230
Rfx5	713	259
Slc35a5	750	327
1700086O06Rik	520	223
Dnaaf4	497	260
Tmem263	758	387
Vps33b	753	360
Fam168a	676	230
Brip1	827	409
Ccdc85c	1180	601
Xkr5	799	423
Evl	609	273
Mtfr1l	1140	503
Dnmt3b	988	501
Cables2	1339	610
Rgs2	779	302
Rasal3	1380	532
Myo5a	587	331
Sec23a	773	350
Plk1	702	352
Iqgap1	814	340
Zfp637	543	246
Spata6	765	352
Dazap2	1087	512
Gtf2ird1	1067	571
Unc93b1	1112	485
Atcayos	564	303
Rad54l2	591	275
Zfp647	634	324
Tmem101	516	259
Peli2	595	270
Stx8	537	298
Tapbpl	1924	916
Bsg	788	363
Agrn	1032	511
Nfya	887	375
Fkbp4	778	439
Gatd3a	773	347
Zfp330	608	250
Max	1071	430
Ntpcr	546	256
Gm39918	766	283
Slc35b3	630	272
BC106179	1530	656
Ece1	1359	585
Eef1akmt3	1113	494
Dhrs7	656	294
Rhno1	688	292
Clic4	950	463
Map1lc3b	911	406
Noxo1	586	256
Wrap73	917	448
Hnrnpk	582	321
Pim3	1371	744
Micu3	649	276
Ccdc77	742	315
Swt1	573	254
Flna	1059	412
Map2k5	592	312
Rfx3	738	285
Slc18a1	581	246
Slc30a1	901	441
Gm34632	897	417
Sfswap	748	364
Ltn1	559	243
Chordc1	560	274
Cetn4	557	277
Ubr5	658	290
Rsbn1l	694	314
Kat6a	778	329
Ubald2	745	339
Zbtb49	826	418
Ccne2	1070	497
Spag7	809	385
4930473A02Rik	926	418
Cgas	587	306
Tbc1d9b	708	390
Tor1a	682	325
Peds1	1916	942
Spint2	906	396
Rab34	891	497
Ppp3ca	905	376
Pigm	764	401
Lrrc73	765	320
Pfkfb3	1060	466
Phkb	548	267
Tarbp2	1623	795
Leprotl1	1476	581
Ccdc32	588	213
2810410L24Rik	983	551
Atg5	614	215
Nckap5l	907	458
Pdia3	731	321
Zfp719	640	285
Efcab8	611	250
Nod1	853	408
Tbc1d22a	830	370
Dgat1	885	465
Ndufc2	572	272
Fhip2a	827	350
Slc7a5	1555	786
Mgll	600	289
Zswim4	1217	602
Ccna2	693	279
Mapk9	831	360
Alg5	845	404
Ntf5	588	286
Plcg1	1817	857
Gtf2f1	872	354
9330136K24Rik	775	257
Cib1	1060	503
Abhd2	1512	689
Dnaja3	583	304
Spryd3	675	277
Tubb5	888	411
Grk4	621	315
Rhebl1	544	252
Ulk2	519	305
Rnf14	544	231
Gnaq	681	338
Mrpl49	973	424
Flt3l	1140	460
Ncln	1627	718
Ptprc	767	325
Glrx5	1184	642
Ears2	664	339
Trap1	540	235
Bcl2l13	578	244
Ppp1r15b	1532	670
St8sia1	1752	795
0610030E20Rik	544	232
Rbbp4	747	371
Nsd3	1039	344
Optn	538	246
Pcyt2	754	379
LTO1	701	333
Bcl7a	851	429
Tubb2a	850	440
Lnpep	1001	397
Cyp51	616	296
Slamf1	600	266
Gnb1	872	384
Chl1	463	233
Pkm	1015	442
Yipf3	959	467
Thra	1220	518
1700008O03Rik	619	265
Exoc6b	688	325
Pou3f1	727	465
Cdk5rap1	537	228
Gpr137b-ps	789	386
Trir	1085	440
Nol8	713	342
Usp18	1303	564
Neurl1a	510	252
Slc35f6	738	340
Mfsd1	546	282
Trim39	848	410
Ripk3	804	361
Cdk1	1004	466
Fam104a	963	433
Mrpl46	680	303
Zzef1	782	359
Ube2l3	534	261
Bad	929	456
n-R5s142	1777	766
Os9	665	269
Rbpms2	893	468
Cox19	767	307
Gpd1l	816	390
Snai3	1092	522
Fnbp1l	657	339
Zfp428	615	325
Snu13	843	408
Vps8	608	238
Camsap2	962	426
6430590A07Rik	671	278
Smim14	560	245
Zfp39	607	286
Txndc5	650	296
Klhl2	713	344
Usp31	579	283
Eef1aknmt	688	297
Itgb5	774	376
Tbx21	1031	510
Cxxc5	1451	699
Il6ra	1600	849
Trp53inp2	865	401
Foxo6	691	392
Fabp5	921	431
Inca1	739	313
Dusp11	648	244
Slfn9	687	312
Dap3	779	346
Gm9530	601	242
Ankrd13c	581	264
Mpv17l	553	221
Dclre1b	746	321
Fbxo11	774	318
Tlr2	494	230
Ankrd34a	1191	574
1810021B22Rik	964	430
Dennd4a	629	231
Tbcd	535	277
Bag4	752	344
Rmdn3	685	377
Cdca7	888	455
Tmem216	541	230
Ttyh2	651	310
Nin	965	521
Mob3a	2091	891
Prrt1	1940	914
Ccdc163	566	256
Ggnbp1	584	259
Gmcl1	924	414
Pacsin3	998	433
Cbarp	1488	762
Oxsr1	952	459
Fuz	513	293
Vasp	1896	891
1700025G04Rik	1155	521
Rps19bp1	538	256
Gpsm1	951	417
Zkscan5	603	219
AI506816	494	290
U2surp	608	310
Dynlt2a1	596	229
Rilpl1	911	527
Rbm12b2	549	240
Ints12	576	292
Psma7	807	430
Ankrd13a	1184	551
Cdt1	932	468
Pigb	520	250
Taf1c	619	284
Spdl1	527	258
Tmem25	729	382
Dusp7	2924	1354
Arl2	881	354
Lgals1	1482	702
100039192	701	335
Nr1h2	488	224
Fanci	791	338
Lrrc8a	1715	774
Oga	809	340
2900060N12Rik	704	374
Spata13	749	370
Galk1	637	295
Ehd3	786	407
Ube2r2	791	357
Atmin	625	358
Lrpprc	868	377
Prdm9	543	212
Fbxw11	756	321
9930012K11Rik	968	443
Klhl22	711	338
St7	536	321
Brwd1	769	383
Slc25a23	850	455
Crtc3	681	340
Dmac2l	715	331
Gpbp1	537	304
Calm3	1046	446
Gm31728	704	303
Foxj3	595	263
Gfpt1	968	370
Lmo7	593	270
Cacnb3	635	335
Mycn	1113	613
Mrpl58	992	471
Ppp4r3a	785	417
Rinl	994	516
Zfp692	640	376
Bptf	684	325
Nxf1	581	243
Rpusd1	960	485
Cacul1	610	303
Taf12	748	327
Nfkbia	1488	711
Gpr18	1420	590
Cct3	729	287
Sfi1	526	216
Cacybp	637	266
Ndst1	1148	553
Mtrex	557	241
Ccl25	687	331
Nme6	541	266
Glce	969	407
Egln1	1071	603
Micu1	514	249
Mrm1	905	438
Elp4	639	291
Ube2z	654	313
Sec24c	534	228
Ptprj	1100	539
Brd1	810	371
Rab5if	1095	502
Lrrc75a	702	341
Hectd2	532	323
M6pr	546	295
Arhgap1	1138	493
Degs1	854	427
C1qtnf6	507	243
Relt	1055	449
Chmp1a	727	288
Bid	908	428
Ndufv1	632	277
Mast3	1626	776
Tmem30b	506	283
Slfn5	1057	450
Rell2	1324	701
Ccser1	589	344
Phf12	1496	646
Pbx2	1932	857
Esrp1	758	370
Ccdc38	892	329
Cd37	1065	471
Pcmtd1	593	229
Polr1e	735	338
Tmc6	2592	1204
Snrpf	459	252
E130317F20Rik	1592	790
Cnot4	794	379
Morn1	889	424
Nudc	608	244
Mak16	776	322
9930111J21Rik1	1151	486
Nadsyn1	655	262
Mfsd6	567	265
Mfsd2a	988	409
Hrk	677	333
Trmt61a	1262	623
Cilp2	952	450
Kdm2a	1169	506
Tnfsf11	685	311
Crot	553	258
Rusf1	624	329
Myl12a	536	263
Armc9	734	313
Mzt2	1005	491
Asl	654	305
Retreg1	1065	485
Cmtm4	626	371
Adgrg5	1321	668
Neil3	462	242
Ipo8	498	248
Dnajb12	571	267
Pole	964	423
Mdfi	739	387
Lhfpl2	675	316
Acad11	691	341
Fbxo31	913	414
Dctn4	542	215
Tmem41b	561	265
Lig3	540	232
Ctss	561	196
St6galnac4	995	438
Urgcp	538	252
Mapre3	595	323
Nktr	673	291
Tbc1d16	759	354
n-R5s139	1777	766
B4galt1	1611	722
Gtpbp1	1314	555
Fzd4	976	544
Pltp	1205	571
n-R5s143	1777	766
Srpr	850	383
Piezo1	921	472
Sgsh	1789	781
Gm39213	561	246
Vsig10	691	421
Sumo3	815	388
Pam	567	296
Pdcl3	638	253
C8g	909	473
2210016F16Rik	546	241
Nek7	882	390
Prkcq	1553	688
Dlx4os	585	333
Sfxn2	771	339
Tspo	1109	579
Pnpla6	1573	751
Erc1	649	287
Chek1	674	326
Efcab11	878	321
Lamc1	887	461
Gm16062	821	411
Klhl6	1146	490
Cfap36	548	237
Msh6	546	290
Lrrc8c	1101	464
Rcan1	479	241
Pum3	803	373
Prkcd	1364	675
Pcyt1a	611	358
Msh3	692	282
Orai2	1558	726
Cstf1	833	412
Zfp780b	623	281
Atp6v1a	915	421
Adam19	553	244
Ilk	980	448
Klf13	1044	470
C2cd3	648	247
Spg7	654	323
Cep104	842	450
Rpl27a	821	340
Npepps	651	324
Mir22hg	1380	544
Pgap6	529	286
Ephb2	956	527
Etv5	893	424
Btbd1	725	307
Pms2	617	268
Kcnj8	588	224
Ube2j2	1032	461
Ampd3	606	314
Ksr1	693	334
Arhgef40	853	400
Gpsm2	752	320
Ubald1	1943	832
D030056L22Rik	580	286
Mvp	889	426
D17H6S56E-5	1450	641
Ppp2r1b	591	308
Map3k14	1715	732
Marchf5	767	408
Cep57	649	272
Mcl1	1076	463
Plxdc1	866	400
Klhl9	476	258
Il2rg	990	403
Tamalin	819	387
Cbx2	733	346
Dbn1	662	347
Mfsd14a	512	237
Eif4b	504	244
Tomm40	798	340
Slc16a6	1309	620
Rwdd1	654	297
Pikfyve	590	278
Trim8	1473	650
Ahsa1	867	382
Sema4c	1571	893
Chdh	509	283
Zfp574	887	368
Cplane2	817	360
Mgat3	783	355
Prkrip1	606	284
Rad1	539	263
Haus4	603	285
Zfp661	1071	527
Gm32817	702	376
Ddx50	595	266
A430005L14Rik	629	355
Naa50	947	401
Fars2	547	247
Sp1	587	277
Erbin	635	320
Aqp3	834	436
Zfyve19	650	272
Eya3	509	221
Pitpnm1	1883	841
Cdan1	815	402
Mthfd1l	600	302
Zdhhc8	996	473
Oas3	2198	912
Qser1	924	419
Arhgef1	2149	808
Tbk1	506	213
Tefm	699	290
Laptm4b	595	300
Efcab14	475	258
Nt5dc1	658	305
Tet2	700	288
Paip1	595	229
Klc2	897	386
Surf6	871	428
Mcm6	690	298
Xbp1	1073	439
Ehd4	761	369
Lhx2	559	257
Plpp3	471	295
Trip4	607	232
Ndufs3	608	237
Rnf150	653	335
Ttll11	738	388
Fh1	766	355
Samhd1	855	381
Iqch	526	268
Cdkn3	557	277
Sec22a	496	252
Gm32249	548	246
Plpp2	741	361
Tmem234	932	394
Vsir	2249	1051
R3hcc1l	629	273
Ntmt1	811	381
Myl6b	582	232
Gm12841	725	381
Fermt3	1649	837
Tfdp1	952	511
Zcchc24	883	433
Dedd	713	285
Gm13290	731	354
Extl1	682	377
Lrp1	613	317
Ctps	501	267
Vac14	744	346
Kcnh2	1139	608
Rab10	1034	449
Pgap2	566	243
Eif1a	731	341
Kcna2	1700	798
Mllt11	891	394
Psen2	759	315
Snrpd3	1040	481
Tex9	537	223
Myo1c	1051	469
Cox4i1	642	276
Aspscr1	583	248
Adrb1	475	282
Snx32	1052	426
Wnt11	698	369
Usp2	535	213
Sf3a2	1035	558
Tyw5	512	272
Lyzl4	995	447
Foxred2	533	248
Ldlrad3	523	245
Sh3pxd2a	854	460
Igtp	1421	707
Slc16a5	2237	1045
Mindy2	563	233
Atxn10	546	284
Tmem120a	862	394
Ankrd55	623	264
2410004B18Rik	504	225
Brd9	808	400
Lats1	510	282
Anks6	481	240
Tecr	747	329
Upp2	642	394
8430429K09Rik	859	337
Slc3a2	713	302
Ccne1	987	479
Med18	641	238
Bcl6	910	378
Pih1d2	484	239
Gpr157	1053	455
Klc1	917	513
Tjap1	549	227
Bud31	756	343
Mknk1	601	271
Selenon	561	225
Relb	647	274
Oasl1	979	400
2610307P16Rik	601	312
Tubb3	785	385
Lztr1	687	343
Rnf170	448	245
Trp53inp1	721	307
Arel1	668	279
Srsf1	794	291
Emc1	1019	470
Zap70	2361	1071
Ccni	599	234
Ptma	1491	676
Gcc1	744	322
Katnb1	1298	498
Atxn7l3	1307	583
Vps53	666	265
Zbtb45	689	343
Mbtd1	778	367
Foxk2	879	427
9530077C05Rik	598	304
Polr1d	1089	449
Mgat4b	1431	703
Golm1	616	283
Brms1	751	428
Trim12c	586	240
Traf6	527	233
Ier5	569	235
Apbb1ip	914	421
Sgpp1	837	351
Slc4a7	492	224
Dctn1	661	314
Slk	652	336
Pik3ap1	580	292
Fkbp5	592	267
Bcl11a	1185	604
Ggnbp2	891	397
Mark3	1025	527
Dhdds	578	229
Phldb1	1038	448
Klhl42	1020	582
Dcbld1	540	250
Stbd1	585	307
Pou2f1	806	425
Map2k2	868	347
Wdr20	951	428
Selenok	574	233
Spats2	603	311
Surf2	1335	729
Susd3	796	371
Polr2l	1086	489
Zfp276	944	495
Mpc1	1025	539
Osbpl2	879	337
Ssr4	583	282
Efna1	919	467
Daam1	893	420
Ubr4	718	351
9930021J03Rik	681	365
Ccdc87	897	415
Coro1a	2472	1189
Fth1	609	288
Cln6	717	345
Qrsl1	478	229
Abitram	681	351
Ifngr1	927	403
Cmtm7	994	459
Snx17	966	410
Slx1b	994	452
Gtpbp3	1162	556
Sec62	525	210
Dennd1c	1812	809
Foxc1	420	263
Riok1	683	276
Ywhae	675	264
Eef1akmt4	1074	496
Ada	803	366
Shox2	866	417
Ptgfrn	588	332
Sox8	910	514
Ttl	720	304
Zfp263	1205	505
Homer3	765	336
Spc24	631	212
Nup98	579	242
Eps15	512	287
Mgrn1	779	337
Nsl1	707	298
Hoxa3	934	404
Pcm1	554	237
